Bangla_Translation,Label
পুরো পডকাস্টটি এখানে দেখুন 👇,neutral
কথা হচ্ছে আপনারা কেন পাবলিকে পড়লেন? প্রাইভেটে পড়তেন🤣🤣😂।,neutral
পাবলিক বিশ্ববিদ্যালয় শুধু মেধাবী শিক্ষার্থীদের জন্য,pro_public
"যদি আপনার পর্যাপ্ত টাকা থাকে এবং নিয়মিত পড়াশোনা চালিয়ে যেতে পারেন, তাহলে টপ লেভেলের প্রাইভেট বিশ্ববিদ্যালয়ে যাওয়ার পরামর্শ দিচ্ছি। যদি না থাকে, তাহলে ভর্তি পরীক্ষার সময় সর্বোচ্চ চেষ্টা করুন এবং পাবলিক বিশ্ববিদ্যালয়ের লক্ষ্য রাখুন। সামগ্রিকভাবে, সত্যি যে প্রাইভেট বিশ্ববিদ্যালয়গুলো ক্রমাগত উন্নতি করছে, যখন অনেক পাবলিক বিশ্ববিদ্যালয় নতুন কিছু introducing করছে না।",pro_private
খারাপ লেকচার,neutral
ন্যাশনাল আর কম টাকার প্রাইভেট এই দুইটার মধ্যে কোনটাই BBA ভালো হবে,neutral
প্রাইভেটে তারাই পড়ে যারা অ্যাডমিশনে ব্যর্থ — এটাই সত্য।,pro_public
বুয়েটে পড়লে কি চাকরি কনফার্ম,neutral
"আমার দেখা স্কুল, কলেজের টপ স্টুডেন্টরা পাবলিকে চান্স না পেয়ে প্রাইভেটে পড়ছে আর মিডিয়াম এমনকি লো ক্যাটাগরি স্টুডেন্টও একটা পাবলিকে চান্স পেয়ে গেছে। স্টুডেন্ট কেমন এটা একটা পরীক্ষা দিয়ে জাজ করা যায় না। আর আজকাল পাবলিক ভার্সিটিগুলো পড়াশোনার চেয়ে পলিটিক্সকে বেশি প্রায়রিটি দেয়। টিচার নিয়োগ দেয় পলিটিক্যাল ব্যাকগ্রাউন্ড দেখে।",pro_private
"পাবলিক-প্রাইভেট বিতর্ক থেকে বেরিয়ে আসার সময় এসেছে। গুণগত শিক্ষা ও দক্ষতা বৃদ্ধি যেখান থেকে হবে সেখানেই আমি যাব। সেটা পাবলিক হলে পাবলিকে প্রাইভেট হলে প্রাইভেটে। বেশিরভাগ মানুষ পাবলিক বিশ্ববিদ্যালয় চয়েস করে যার প্রধান দুটি কারণ হলো পাবলিকের মূল্যায়ন বেশি এবং সেখানে খরচ কম। সব প্রাইভেট ইউনিভার্সিটি কিন্তু কিছু না কিছু মুনাফা অর্জন করতে চায়। তাই বলে যে তারা গুণগত শিক্ষা দেয় না বা প্রাইভেটে পড়লে আপনি কিছু করতে পারবেন না নট দ্যাট। বেশ কিছু প্রাইভেট ইউনিভার্সিটি কিন্তু শিক্ষাঙ্গনে বেশ ভালো অবদান রাখছে। এটা আপনার উপর ডিপেন্ড করে আপনি কি রকম দৃষ্টিভঙ্গি রাখেন। অনেকে বরাবরই পাবলিককে প্রাধান্য দেন আর প্রাইভেটকে একদম গোনার মধ্যে রাখেন না আবার অনেকে পাবলিক পছন্দ করেন না, অনেকে প্রাইভেট পছন্দ করেন এরকমও আছে। সবাই বিভিন্ন ক্রাইটেরিয়া ও অ্যাঙ্গেল থেকে চিন্তা করে।",neutral
"ভাই প্রাইভেট বিশ্ববিদ্যালয়ে পড়ার টাকা নাই,,, আমাদের মতো গরিব মানুষদের জন্য,, পাবলিক বিশ্ববিদ্যালয়ই ঠিক আছে,,, 😢😢😢",pro_public
"প্রাইভেটের যদি পাবলিকিয়ানরা পড়তো, তাহলে বুঝতো আমাদের লাইফটা কত ইজি হওয়া আছে",pro_private
ইউনিভার্সিটি মানুষকে বড় ছোট করে দিতে পারে? স্টুডেন্ট লাইফের পরে সবাই সমান। যার যার যোগ্যতা দক্ষতা দিয়ে চলতে হয়।,neutral
পাবলিক ভার্সিটি বাথরুম>>>>>>>>>>প্রাইভেট ভার্সিটি,pro_private
"ওয়ার্ল্ডের টপ কান্ট্রিগুলো এত ভালো ডেভেলপমেন্ট করার রিজন হচ্ছে তারা প্রাইভেট বা পাবলিক ইউনিভার্সিটি মতো লেইম টপিক নিয়ে মাতামাতি করে না..হ্যায় প্রাইভেটে তারাই পড়তে পারবে যাদের টাকা আছে..পাবলিক প্রায় ফ্রি..কিন্তু প্রাইভেটেও এত কম পেরা না ভাই...ডিউ'র পরীক্ষায় আবার 94% স্টুডেন্টস ফেইল করেছে...আপনাদের কাছে কি মনে হয় ওদের টিচাররা সব খাতা চেক করে?? অবশ্যই না..ধরেন সিট 100, পরীক্ষা দিলো 1000..আপনার কি মনে হয় ওরা ওই 1000 পেপার্স দেখবে? পাবলিকে পড়তে গেলে, মেধা+লাক দুইটাই থাকা লাগে...যাদের টাকা আছে তারা প্রাইভেটে পড়বে..এমন না যে দেশের ভালো ভালো সেক্টরে জাস্ট পাবলিকের স্টুডেন্টসরাই রাজত্ব করছে!! আপনারা যদি এখনো প্রাইভেট অ্যান্ড পাবলিক নিয়ে পড়ে থাকেন তাহলে আর কি হবে!! কিন্তু আপনাদের ওই সেইম পারসন যারা কেউ টাকা দিয়ে দেশের বাহিরে পড়তে গেলে বাহোবা দেন..তাহলে ডিফারেন্সটা কোথায়?? একজন স্টুডেন্টের পাবলিক থেকে গ্রাজুয়েট কমপ্লিট করে বের হতে প্রায় 5-6 বছর লেগে যায়..যেখানে আপনি 4 বছরেই প্রাইভেট থেকে গ্রাজুয়েশন করতে পারছেন!! আমি বলছি না যে পাবলিক খারাপ কিন্তু সব দিকই আপনাদের দেখতে হবে",pro_private
