id,source_index,source_text,Bangla_Translation,Label,augmentation_type
pro_private_aug_1,3,"যদি আপনার পর্যাপ্ত টাকা থাকে এবং নিয়মিত পড়াশোনা চালিয়ে যেতে পারেন, তাহলে টপ লেভেলের প্রাইভেট বিশ্ববিদ্যালয়ে যাওয়ার পরামর্শ দিচ্ছি। যদি না থাকে, তাহলে ভর্তি পরীক্ষার সময় সর্বোচ্চ চেষ্টা করুন এবং পাবলিক বিশ্ববিদ্যালয়ের লক্ষ্য রাখুন। সামগ্রিকভাবে, সত্যি যে প্রাইভেট বিশ্ববিদ্যালয়গুলো ক্রমাগত উন্নতি করছে, যখন অনেক পাবলিক বিশ্ববিদ্যালয় নতুন কিছু introducing করছে না।","যদি আপনার পর্যাপ্ত টাকা থাকে এবং নিয়মিত পড়াশোনা চালিয়ে যেতে পারেন, তাআবাসিক হলে টপ লেভেলের প্রাইভেট বিশ্ববিদ্যালয়ে যাওয়ার পরামর্শ দিচ্ছি। যদি না থাকে, তাহলে ভর্তি পরীক্ষার সময় সর্বোচ্চ চেষ্টা করুন এবং পাবলিক বিশ্ববিদ্যালয়ের লক্ষ্য রাখুন। সামগ্রিকভাবে, সত্যি যে প্রাইভেট বিশ্ববিদ্যালয়গুলো ক্রমাগত উন্নতি করছে, যখন অনেক পাবলিক বিশ্ববিদ্যালয় নতুন কিছু introducing করছে না।",pro_private,SR
pro_private_aug_2,8,"আমার দেখা স্কুল, কলেজের টপ স্টুডেন্টরা পাবলিকে চান্স না পেয়ে প্রাইভেটে পড়ছে আর মিডিয়াম এমনকি লো ক্যাটাগরি স্টুডেন্টও একটা পাবলিকে চান্স পেয়ে গেছে। স্টুডেন্ট কেমন এটা একটা পরীক্ষা দিয়ে জাজ করা যায় না। আর আজকাল পাবলিক ভার্সিটিগুলো পড়াশোনার চেয়ে পলিটিক্সকে বেশি প্রায়রিটি দেয়। টিচার নিয়োগ দেয় পলিটিক্যাল ব্যাকগ্রাউন্ড দেখে।","আমার দেখা স্কুল, কলেজের টপ স্টুডেন্টরা সরকারি বিশ্ববিদ্যালয়ে চান্স না পেয়ে বেসরকারি বিশ্ববিদ্যালয়ে পড়ছে আর মিডিয়াম এমনকি লো ক্যাটাগরি স্টুডেন্টও একটা পাবলিকে চান্স পেয়ে গেছে। স্টুডেন্ট কেমন এটা একটা পরীক্ষা দিয়ে জাজ করা যায় না। আর আজকাল পাবলিক ভার্সিটিগুলো পড়াশোনার চেয়ে পলিটিক্সকে বেশি প্রায়রিটি দেয়। টিচার নিয়োগ দেয় পলিটিক্যাল ব্যাকগ্রাউন্ড দেখে।",pro_private,SR
pro_private_aug_3,11,"প্রাইভেটের যদি পাবলিকিয়ানরা পড়তো, তাহলে বুঝতো আমাদের লাইফটা কত ইজি হওয়া আছে","প্রাইভেটের যদি পাবলিকিয়ানরা পড়তো, তাআবাসিক হলে বুঝতো আমাদের লাইফটা কত ইজি হওয়া আছে",pro_private,SR
pro_private_aug_4,14,"ওয়ার্ল্ডের টপ কান্ট্রিগুলো এত ভালো ডেভেলপমেন্ট করার রিজন হচ্ছে তারা প্রাইভেট বা পাবলিক ইউনিভার্সিটি মতো লেইম টপিক নিয়ে মাতামাতি করে না..হ্যায় প্রাইভেটে তারাই পড়তে পারবে যাদের টাকা আছে..পাবলিক প্রায় ফ্রি..কিন্তু প্রাইভেটেও এত কম পেরা না ভাই...ডিউ'র পরীক্ষায় আবার 94% স্টুডেন্টস ফেইল করেছে...আপনাদের কাছে কি মনে হয় ওদের টিচাররা সব খাতা চেক করে?? অবশ্যই না..ধরেন সিট 100, পরীক্ষা দিলো 1000..আপনার কি মনে হয় ওরা ওই 1000 পেপার্স দেখবে? পাবলিকে পড়তে গেলে, মেধা+লাক দুইটাই থাকা লাগে...যাদের টাকা আছে তারা প্রাইভেটে পড়বে..এমন না যে দেশের ভালো ভালো সেক্টরে জাস্ট পাবলিকের স্টুডেন্টসরাই রাজত্ব করছে!! আপনারা যদি এখনো প্রাইভেট অ্যান্ড পাবলিক নিয়ে পড়ে থাকেন তাহলে আর কি হবে!! কিন্তু আপনাদের ওই সেইম পারসন যারা কেউ টাকা দিয়ে দেশের বাহিরে পড়তে গেলে বাহোবা দেন..তাহলে ডিফারেন্সটা কোথায়?? একজন স্টুডেন্টের পাবলিক থেকে গ্রাজুয়েট কমপ্লিট করে বের হতে প্রায় 5-6 বছর লেগে যায়..যেখানে আপনি 4 বছরেই প্রাইভেট থেকে গ্রাজুয়েশন করতে পারছেন!! আমি বলছি না যে পাবলিক খারাপ কিন্তু সব দিকই আপনাদের দেখতে হবে","ওয়ার্ল্ডের টপ কান্ট্রিগুলো এত ভালো ডেভেলপমেন্ট করার রিজন হচ্ছে তারা প্রাইভেট বা পাবলিক ইউনিভার্সিটি মতো লেইম টপিক নিয়ে মাতামাতি করে না..হ্যায় বেসরকারি বিশ্ববিদ্যালয়ে তারাই পড়তে পারবে যাদের টাকা আছে..পাবলিক প্রায় ফ্রি..কিন্তু প্রাইভেটেও এত কম পেরা না ভাই...ডিউ'র পরীক্ষায় আবার 94% স্টুডেন্টস ফেইল করেছে...আপনাদের কাছে কি মনে হয় ওদের টিচাররা সব খাতা চেক করে?? অবশ্যই না..ধরেন সিট 100, পরীক্ষা দিলো 1000..আপনার কি মনে হয় ওরা ওই 1000 পেপার্স দেখবে? সরকারি বিশ্ববিদ্যালয়ে পড়তে গেলে, যোগ্যতা+লাক দুইটাই থাকা লাগে...যাদের টাকা আছে তারা প্রাইভেটে পড়বে..এমন না যে দেশের ভালো ভালো সেক্টরে জাস্ট পাবলিকের স্টুডেন্টসরাই রাজত্ব করছে!! আপনারা যদি এখনো প্রাইভেট অ্যান্ড পাবলিক নিয়ে পড়ে থাকেন তাআবাসিক হলে আর কি হবে!! কিন্তু আপনাদের ওই সেইম পারসন যারা কেউ টাকা দিয়ে দেশের বাহিরে পড়তে গেলে বাহোবা দেন..তাহলে ডিফারেন্সটা কোথায়?? একজন স্টুডেন্টের পাবলিক থেকে গ্রাজুয়েট কমপ্লিট করে বের হতে প্রায় 5-6 বছর লেগে যায়..যেখানে আপনি 4 বছরেই প্রাইভেট থেকে গ্রাজুয়েশন করতে পারছেন!! আমি বলছি না যে পাবলিক খারাপ কিন্তু সব দিকই আপনাদের দেখতে হবে",pro_private,SR
pro_private_aug_5,16,শেষ পর্যন্ত প্রাইভেট পাবলিকের চেয়ে ভালো... 🙂🙂🙂,শেষ পর্যন্ত প্রাইভেট সরকারি বিশ্ববিদ্যালয়ের চেয়ে ভালো... 🙂🙂🙂,pro_private,SR
pro_private_aug_6,17,"এক ভাই লিখেছেন সরকারি বিশ্ববিদ্যালয় না টেকলে পরে প্রাইভেটে যায় ঠিক বলছ ভাই তুমি একটা বড় ধরনের গাধা। আমার এক ছাত্র রাজশাহী, সিলেট কৃষি, জগন্নাথ, মাওলানা ভাসানী, চুয়েট, কুয়েট পরে সব বাদ দিয়া শেষে ঢাবিতে ভর্তি হয় এক বছর ভাবিত পরে পরের বছর ২৪ সালে আইইউটিতে মেকানিক্যালে ভর্তি হয়। আপনি এখন বলেন এই ছাত্রটি খারাপ? বহু ছাত্র ছাত্রী ঢাবি, রাজশাহী, চিটাগাং বাদ দিয়া প্রাইভেটে ভর্তি হয়েছে। তারা তোমার মতো বোকা না।","এক দেখো লিখেছেন সরকারি বিশ্ববিদ্যালয় না টেকলে পরে বেসরকারি বিশ্ববিদ্যালয়ে যায় ঠিক বলছ ভাই তুমি একটা বড় ধরনের গাধা। আমার এক ছাত্র রাজশাহী, সিলেট কৃষি, জগন্নাথ, মাওলানা ভাসানী, চুয়েট, কুয়েট পরে সব বাদ দিয়া শেষে ঢাবিতে ভর্তি হয় এক বছর ভাবিত পরে পরের বছর ২৪ সালে আইইউটিতে মেকানিক্যালে ভর্তি হয়। আপনি এখন বলেন এই ছাত্রটি খারাপ? বহু ছাত্র ছাত্রী ঢাবি, রাজশাহী, চিটাগাং বাদ দিয়া প্রাইভেটে ভর্তি হয়েছে। তারা তোমার মতো বোকা না।",pro_private,SR
pro_private_aug_7,35,@TahmidTahmid-pz9nw আপনাকে এটা কে বলেছে প্রাইভেটে অ্যাডমিশন পরীক্ষা দেওয়া লাগে না? এ গ্রেড প্রাইভেট ইউনিভার্সিটিতে পড়তে গেলে আপনাকে অবশ্যই অ্যাডমিশন পরীক্ষা দেওয়া লাগবে,@TahmidTahmid-pz9nw আপনাকে এটা কে বলেছে বেসরকারি বিশ্ববিদ্যালয়ে অ্যাডমিশন পরীক্ষা দেওয়া লাগে না? এ গ্রেড প্রাইভেট বিশ্ববিদ্যালয়ভার্সিটিতে পড়তে গেলে আপনাকে অবশ্যই অ্যাডমিশন পরীক্ষা দেওয়া লাগবে,pro_private,SR
pro_private_aug_8,36,"আমার দেখা অনেক স্টুডেন্ট যারা প্রাইমারি, হাই স্কুল লেভেলে ক্লাস টপার ছিল...তারা কোনো কারণে পাবলিকে টিকে নি বা টিকলেও মনমতো সাবজেক্ট পায়নি এখন প্রাইভেটে পড়ছে। আবার সেইম ক্লাসের মিড লেভেলের স্টুডেন্ট ডিএমসি তে বা অন্যান্য পাবলিক ইউনিভার্সিটিতে চান্স পেয়েছে এবং পড়ছে। জাস্ট কলেজ লাইফের দুইটা বছরের পড়াশোনা বা অ্যাডমিশনে চান্স পাওয়া দিয়ে আপনি একজন স্টুডেন্টকে ভালো বা খারাপ স্টুডেন্ট ট্যাগ দিয়ে দিলেন.... সামান্য অ্যাডমিশন দিয়ে যদি একজন স্টুডেন্টের পূর্বের এডুকেশন কোয়ালিফিকেশন সব মিথ্যা হয়ে যায়,, তাহলে শুনে রাখুন ইউনিভার্সিটিরও 4 বছর পর জব সেক্টরে তার পজিশনের উপর ভার্সিটির 4 বছরের সবকিছু মিথ্যা হয়ে যাবে।","আমার দেখা অনেক স্টুডেন্ট যারা প্রাইমারি, হাই স্কুল লেভেলে ক্লাস টপার ছিল...তারা কোনো কারণে পাবলিকে টিকে নি বা টিকলেও মনমতো সাবজেক্ট পায়নি এখন প্রাইভেটে পড়ছে। আবার সেইম ক্লাসের মিড লেভেলের স্টুডেন্ট ডিএমসি তে বা অন্যান্য পাবলিক ইউনিভার্সিটিতে চান্স পেয়েছে এবং পড়ছে। জাস্ট কলেজ লাইফের দুইটা বছরের পড়াশোনা বা অ্যাডমিশনে চান্স পাওয়া দিয়ে আপনি একজন স্টুডেন্টকে উন্নত বা খারাপ স্টুডেন্ট ট্যাগ দিয়ে দিলেন.... সামান্য অ্যাডমিশন দিয়ে যদি একজন স্টুডেন্টের পূর্বের এডুকেশন কোয়ালিখরচকেশন সব মিথ্যা হয়ে যায়,, তাআবাসিক হলে শুনে রাখুন ইউনিভার্সিটিরও 4 বছর পর চাকরি সেক্টরে তার পজিশনের উপর ভার্সিটির 4 বছরের সবকিছু মিথ্যা হয়ে যাবে।",pro_private,SR
pro_private_aug_9,47,২ জন পাবলিকের ছাত্র প্রাইভেট নিয়ে কথা বলে😅। প্রাইভেটের একজনকে তার সুযোগ সুবিধা ও সমস্যা জিজ্ঞেস করেন। আপনি প্রাইভেটে শিক্ষক হতে পারেন তাই বলে ছাত্রদের তো বুঝতে পারবেন না। আর সবাই ব্র্যাকে পড়ে না। ব্র্যাকের সবই ধরা যায় বড়লোক। তবে বাকিগুলো কী তাই?,২ জন সরকারি বিশ্ববিদ্যালয়ের ছাত্র প্রাইভেট নিয়ে কথা বলে😅। প্রাইভেটের একজনকে তার সুযোগ সুবিধা ও সমস্যা জিজ্ঞেস করেন। আপনি প্রাইভেটে শিক্ষক হতে পারেন তাই বলে ছাত্রদের তো বুঝতে পারবেন না। আর সবাই ব্র্যাকে পড়ে না। ব্র্যাকের সবই ধরা যায় বড়লোক। তবে বাকিগুলো কী তাই?,pro_private,SR
pro_private_aug_10,50,"আমার মনে হয় প্রাইভেট ইউনিভার্সিটিগুলো স্টুডেন্টদের তাদের মেজরের বাইরে বিভিন্ন ডিপার্টমেন্ট থেকে কোর্স চুজ করার সুযোগ দেয়। এটা একটা ফ্যাক্টর যা ডে 1 থেকে স্টুডেন্টদের পার্সপেক্টিভ ব্রডেন করে তাদের পথ নেভিগেট করতে এবং অপরচুনিটি এক্সপ্লোর করতে। তবে, পাবলিক ইউনিভার্সিটির স্টুডেন্টরা রিগোরাস সিলেকশন প্রসেসের মাধ্যমে সিলেক্টেড হয়, যা ইনহেরেন্টলি এক ব্রাঞ্চ অফ স্টুডেন্টসকে পুল করে যারা যেকোনো সাপোর্ট সিস্টেমে তাদের স্কিল নারচার করতে পারে। প্রাইভেটে অ্যানথ্রোপোলজি, সোসিওলজির মতো আনকনভেনশনাল সাবজেক্টস পড়া কেউ র‍্যাশনালি ইনফর্মড চয়েস করে প্যাশন থেকে, এবং 3.5 বছরের আউটপুট লাইকলি মাচ হায়ার দ্যান পাবলিকে লটারি অফ লাক দিয়ে ইমপোজড কেউ।","আমার মনে হয় প্রাইভেট বিশ্ববিদ্যালয়ভার্সিটিগুলো স্টুডেন্টদের তাদের মেজরের বাইরে বিভিন্ন ডিপার্টমেন্ট থেকে পাঠ্যক্রম চুজ করার সুযোগ দেয়। এটা একটা ফ্যাক্টর যা ডে 1 থেকে স্টুডেন্টদের পার্সপেক্টিভ ব্রডেন করে তাদের পথ নেভিগেট করতে এবং অপরচুনিটি এক্সপ্লোর করতে। তবে, পাবলিক বিশ্ববিদ্যালয়ভার্সিটির স্টুডেন্টরা রিগোরাস সিলেকশন প্রসেসের মাধ্যমে সিলেক্টেড হয়, যা ইনহেরেন্টলি এক ব্রাঞ্চ অফ স্টুডেন্টসকে পুল করে যারা যেকোনো সাপোর্ট সিস্টেমে তাদের দক্ষতা নারচার করতে পারে। বেসরকারি বিশ্ববিদ্যালয়ে অ্যানথ্রোপোলজি, সোসিওলজির মতো আনকনভেনশনাল সাবজেক্টস পড়া কেউ র‍্যাশনালি ইনফর্মড চয়েস করে প্যাশন থেকে, এবং 3.5 বছরের আউটপুট লাইকলি মাচ হায়ার দ্যান সরকারি বিশ্ববিদ্যালয়ে লটারি অফ লাক দিয়ে ইমপোজড কেউ।",pro_private,SR
pro_private_aug_11,53,"হ্যায় আর ওই কম্পিটিশন পার করে কি হয়েছে, আবরার ফাহাদ ভাইয়াও চান্স পেয়ে বুয়েটে ঢুকেছিল ওনাকে যারা মারছে তারাও চান্স পেয়ে ঢুকেছিল...ওয়ান গট কিল্ড অ্যান্ড দ্য অদার্স বিকেম কিলার্স। ডিউতে তো বললাম ও না লীগের পোলাপান যারা সবাই চান্স পেয়েই তো ঢুকেছে, চান্স পাইলেই কি লাইফে সব অ্যাচিভ করে ফেলসে? এই বাংলাদেশে মানুষের পাবলিক ফেটিশটা যতদিন যাবে না পাবলিকেরই নাম নষ্ট হবে, পলিটিক্স খুনাখুনি মেয়েদেরকে হ্যারাস করা র‍্যাগিং এগুলা সব কিছু ইগনোর করা হয় জাস্ট এই বলে যে আরে চান্স পেয়ে দেখান, ওরা তো পাবলিকে পড়ে ভালো স্টুডেন্ট, ভালো স্টুডেন্ট আর ভালো মানুষের মধ্যে ডিফারেন্স আছে এটা যতদিন বুঝবে না ততদিন পাবলিকেরই কোয়ালিটি ড্রপ করবে কজ তারা এভরি অদার প্রবলেম ইগনোর করে জাস্ট ফোকাসিং কতো ট্যালেন্টেড মানুষ ঢুকসে অ্যাডমিশন টেস্টে।","হ্যায় আর ওই কম্পিটিশন পার করে কি হয়েছে, আবরার ফাহাদ ভাইয়াও চান্স পেয়ে বুয়েটে ঢুকেছিল ওনাকে যারা মারছে তারাও চান্স পেয়ে ঢুকেছিল...ওয়ান গট কিল্ড অ্যান্ড দ্য অদার্স বিকেম কিলার্স। ডিউতে আসলে বললাম ও না লীগের পোলাপান যারা সবাই চান্স পেয়েই তো ঢুকেছে, চান্স পাইলেই কি লাইফে সব অ্যাচিভ করে ফেলসে? এই বাংলাদেশে মানুষের পাবলিক ফেটিশটা যতদিন যাবে না সরকারি বিশ্ববিদ্যালয়েরই নাম নষ্ট হবে, পলিটিক্স খুনাখুনি মেয়েদেরকে হ্যারাস করা র‍্যাগিং এগুলা সব কিছু ইগনোর করা হয় জাস্ট এই বলে যে আরে চান্স পেয়ে দেখান, ওরা তো পাবলিকে পড়ে ভালো স্টুডেন্ট, ভালো স্টুডেন্ট আর ভালো মানুষের মধ্যে ডিফারেন্স আছে এটা যতদিন বুঝবে না ততদিন পাবলিকেরই কোয়ালিটি ড্রপ করবে কজ তারা এভরি অদার প্রবলেম ইগনোর করে জাস্ট ফোকাসিং কতো ট্যালেন্টেড মানুষ ঢুকসে অ্যাডমিশন টেস্টে।",pro_private,SR
