id,source_index,source_text,Bangla_Translation,Label,augmentation_type
pro_public_aug_1,2,পাবলিক বিশ্ববিদ্যালয় শুধু মেধাবী শিক্ষার্থীদের জন্য,পাবলিক বিশ্ববিদ্যালয় শুধু যোগ্যতাবী শিক্ষার্থীদের জন্য,pro_public,SR
pro_public_aug_2,6,প্রাইভেটে তারাই পড়ে যারা অ্যাডমিশনে ব্যর্থ — এটাই সত্য।,বেসরকারি বিশ্ববিদ্যালয়ে তারাই পড়ে যারা অ্যাডমিশনে ব্যর্থ — এটাই সত্য।,pro_public,SR
pro_public_aug_3,10,"ভাই প্রাইভেট বিশ্ববিদ্যালয়ে পড়ার টাকা নাই,,, আমাদের মতো গরিব মানুষদের জন্য,, পাবলিক বিশ্ববিদ্যালয়ই ঠিক আছে,,, 😢😢😢","দেখো প্রাইভেট বিশ্ববিদ্যালয়ে পড়ার টাকা নাই,,, আমাদের মতো গরিব মানুষদের জন্য,, পাবলিক বিশ্ববিদ্যালয়ই ঠিক আছে,,, 😢😢😢",pro_public,SR
pro_public_aug_4,19,"পাবলিক পাবলিক হয় যাদের মেধা আছে তারাই পাবলিকে পড়ে,, আর অনেক পুলাপান পাবলিকে চান্স না পেলে পরে যাদের টাকা আছে তারা প্রাইভেটে ভর্তি হয়,,, আমার দেখা অনেক খারাপ ছাত্র বাবার টাকা আছে তারা প্রাইভেটে ভর্তি হয়েছে","পাবলিক পাবলিক হয় যাদের যোগ্যতা আছে তারাই সরকারি বিশ্ববিদ্যালয়ে পড়ে,, আর অনেক পুলাপান পাবলিকে চান্স না পেলে পরে যাদের টাকা আছে তারা প্রাইভেটে ভর্তি হয়,,, আমার দেখা অনেক খারাপ ছাত্র বাবার টাকা আছে তারা প্রাইভেটে ভর্তি হয়েছে",pro_public,SR
pro_public_aug_5,34,"নট রিয়েলি। শেষ পর্যন্ত, পাবলিকের স্টুডেন্টরাই প্রাইভেটের টিচার হয়। আর পাবলিকে পড়তে অ্যাডমিশন দেওয়া লাগে। যেটা প্রাইভেটে দেওয়া লাগে না। আর দিলেও পাবলিকের মতো এতো হার্ড না","নট রিয়েলি। শেষ পর্যন্ত, সরকারি বিশ্ববিদ্যালয়ের স্টুডেন্টরাই বেসরকারি বিশ্ববিদ্যালয়ের টিচার হয়। আর পাবলিকে পড়তে অ্যাডমিশন দেওয়া লাগে। যেটা প্রাইভেটে দেওয়া লাগে না। আর দিলেও পাবলিকের মতো এতো হার্ড না",pro_public,SR
pro_public_aug_6,37,পাবলিকে ট্রাই করে না টিকলে তবেই অনেকে বাধ্য হয়ে প্রাইভেটে যায়! আর এটাই বাস্তব!,সরকারি বিশ্ববিদ্যালয়ে ট্রাই করে না টিকলে তবেই অনেকে বাধ্য হয়ে বেসরকারি বিশ্ববিদ্যালয়ে যায়! আর এটাই বাস্তব!,pro_public,SR
pro_public_aug_7,38,খানকির পোলা তোরা স্পুন ফিড করিস প্রাইভেটে?,খানকির পোলা তোরা স্পুন ফিড করিস বেসরকারি বিশ্ববিদ্যালয়ে?,pro_public,SR
pro_public_aug_8,39,পাবলিকের স্টুডেন্ট ওই স্টুডেন্ট আবার প্রাইভেটে টিচার হয়। তাহলে প্রাইভেটে লেভেল আসলেই বোঝা যায়,সরকারি বিশ্ববিদ্যালয়ের স্টুডেন্ট ওই স্টুডেন্ট আবার বেসরকারি বিশ্ববিদ্যালয়ে টিচার হয়। তাহলে প্রাইভেটে লেভেল আসলেই বোঝা যায়,pro_public,SR
pro_public_aug_9,40,ভাই আপনার সাথে একমত হতে পারলাম না। পাবলিকের পোলাপান গদ বাধা ওই টুকুর মধ্যেই ঘুরে না। প্রাইভেটের স্টুডেন্টরা তো ম্যাক্সিমাম বিদেশ চলে যায়। কিন্তু পাবলিকের পোলাপান এ রিস্ক নিতে পারে এবং নেয়। বাংলাদেশের সব বড় বড় জায়গা বলেন কিংবা ব্যবসা দেখবেন তারা এক সময় পাবলিকেই পড়ত। আরেকটা পয়েন্ট পাবলিকে পড়লে যে একটা নেটওয়ার্ক তৈরি হয় সেটা অন্য কোথাও সম্ভব না।,দেখো আপনার সাথে একমত হতে পারলাম না। সরকারি বিশ্ববিদ্যালয়ের পোলাপান গদ বাধা ওই টুকুর মধ্যেই ঘুরে না। প্রাইভেটের স্টুডেন্টরা তো ম্যাক্সিমাম বিদেশ চলে যায়। কিন্তু পাবলিকের পোলাপান এ রিস্ক নিতে পারে এবং নেয়। বাংলাদেশের সব বড় বড় জায়গা বলেন কিংবা ব্যবসা দেখবেন তারা এক সময় পাবলিকেই পড়ত। আরেকটা পয়েন্ট পাবলিকে পড়লে যে একটা নেটওয়ার্ক তৈরি হয় সেটা অন্য কোথাও সম্ভব না।,pro_public,SR
pro_public_aug_10,51,পাবলিক বিশ্ববিদ্যালয় শিক্ষার্থীরা যে পরিমাণ কষ্ট এবং মেধার প্রতিযোগিতায় থাকে মনে হয় না প্রাইভেটে তার 5% সম্ভব। মেধার বিকাশ অথবা জ্ঞান প্রতিযোগিতায় প্রকাশ পায় এবং তা পরবর্তীতে ভবিষ্যতে দেখা যায় অবশ্যই সবাই স্মার্ট নয় সেটা পাবলিক হোক কিংবা প্রাইভেট।,পাবলিক বিশ্ববিদ্যালয় শিক্ষার্থীরা যে পরিমাণ কষ্ট এবং যোগ্যতার প্রতিযোগিতায় থাকে মনে হয় না বেসরকারি বিশ্ববিদ্যালয়ে তার 5% সম্ভব। মেধার বিকাশ অথবা জ্ঞান প্রতিযোগিতায় প্রকাশ পায় এবং তা পরবর্তীতে ভবিষ্যতে দেখা যায় অবশ্যই সবাই স্মার্ট নয় সেটা পাবলিক হোক কিংবা প্রাইভেট।,pro_public,SR
pro_public_aug_11,55,পাবলিক তো পাবলিকে যতই টক শো করেন। একটা কম্পিটিশন পার করে চান্স পাওয়ার মতো বিরাট ব্যাপার কখনোই পাবেন না।,পাবলিক তো সরকারি বিশ্ববিদ্যালয়ে যতই টক শো করেন। একটা কম্পিটিশন পার করে চান্স পাওয়ার মতো বিরাট ব্যাপার কখনোই পাবেন না।,pro_public,SR
pro_public_aug_12,56,আগে চান্স পেয়ে দেখান,এগিয়ে চান্স পেয়ে দেখান,pro_public,SR
pro_public_aug_13,61,"বস! বাধ্য হয়ে সবাই জাতীয়তে যায়, প্রাইভেটে না 😆","বস! বাধ্য হয়ে সবাই জাতীয়তে যায়, বেসরকারি বিশ্ববিদ্যালয়ে না 😆",pro_public,SR
